"Clave_Ent","Entidad","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
1,"Aguascalientes",38,39,82,75,91,72,75,70,85,112,42
2,"Baja California",821,1168,2084,2798,2606,2629,2670,2399,2116,2089,657
3,"Baja California Sur",151,216,610,162,81,62,48,39,24,56,27
4,"Campeche",49,81,66,69,73,77,85,87,94,95,50
5,"Coahuila de Zaragoza",278,212,222,228,221,194,137,129,116,105,31
6,"Colima",162,502,698,617,661,544,474,738,792,749,228
7,"Chiapas",502,468,475,562,525,419,429,377,500,662,149
8,"Chihuahua",945,1232,1566,1809,2181,2296,2060,1661,1763,1688,629
9,"Ciudad de México",798,906,1048,1364,1396,1128,921,709,779,813,313
10,"Durango",236,236,216,180,150,143,128,115,78,64,22
11,"Guanajuato",863,947,1084,2609,2775,3359,2823,2634,2581,2553,1127
12,"Guerrero",2016,2213,2310,2222,1580,1222,1166,1137,1401,1398,500
13,"Hidalgo",146,135,184,203,287,296,241,274,219,246,100
14,"Jalisco",957,1105,1342,1960,2017,1754,1816,1602,1449,1444,463
15,"México",2021,2054,2031,2349,2539,2441,2346,2257,2254,1964,630
16,"Michoacán de Ocampo",766,1262,1249,1338,1680,1976,2233,1969,1438,1246,499
17,"Morelos",480,586,575,693,911,802,1035,1041,1302,1323,418
18,"Nayarit",83,40,250,329,168,159,201,150,120,144,65
19,"Nuevo León",450,641,613,746,889,847,1003,1328,1338,1539,376
20,"Oaxaca",201,738,855,983,1011,809,736,826,852,877,301
21,"Puebla",493,581,894,1105,1109,872,797,914,852,880,336
22,"Querétaro",131,118,175,180,176,182,185,166,179,174,60
23,"Quintana Roo",228,165,359,763,685,581,585,562,629,569,130
24,"San Luis Potosí",241,306,451,457,453,621,614,547,433,377,105
25,"Sinaloa",841,922,1250,963,822,700,556,435,492,805,559
26,"Sonora",589,630,727,745,1062,1330,1600,1439,1134,1129,451
27,"Tabasco",233,276,388,508,565,509,390,291,234,707,296
28,"Tamaulipas",533,594,799,851,663,572,525,382,365,331,86
29,"Tlaxcala",58,76,120,122,149,109,117,130,106,128,49
30,"Veracruz de Ignacio de la Llave",525,1200,1722,1497,1431,1293,1107,856,828,772,318
31,"Yucatán",52,50,37,48,33,52,42,39,34,44,11
32,"Zacatecas",232,449,551,561,510,789,1134,981,709,369,73
