"ent","Sexo","Empleo","Salario_trim","Salario_trim_cv"
"01","Hombre","Formal",6666.04583060201,0.0553880421476539
"01","Hombre","Informal",4566.77492932488,0.0515443528410692
"01","Mujer","Formal",5374.18686230997,0.0505426369310387
"01","Mujer","Informal",3501.02053935549,0.0528170607088895
"02","Hombre","Formal",8346.37275403211,0.0343464636482076
"02","Hombre","Informal",6182.79373257615,0.0466102114535608
"02","Mujer","Formal",7112.5981441065,0.0402805504209983
"02","Mujer","Informal",5026.96812950299,0.0505313169052081
"03","Hombre","Formal",14722.8688909106,0.0473603472769854
"03","Hombre","Informal",11050.2350369872,0.0433014882165629
"03","Mujer","Formal",13062.8956337371,0.0767292489982103
"03","Mujer","Informal",7233.21494145536,0.0761042595549189
"04","Hombre","Formal",12264.3168987938,0.0226912825367338
"04","Hombre","Informal",6762.87666824296,0.0348250766499103
"04","Mujer","Formal",10584.5004426571,0.0252644500954226
"04","Mujer","Informal",4202.51494065059,0.0293941853759111
"05","Hombre","Formal",11549.2823369101,0.0204479935936705
"05","Hombre","Informal",8178.05918150451,0.0339545776802962
"05","Mujer","Formal",9441.81976646813,0.0223008371671977
"05","Mujer","Informal",5372.08172789606,0.0427005981584937
"06","Hombre","Formal",9588.24393864866,0.0444791192614936
"06","Hombre","Informal",7691.92838583066,0.0445947127059286
"06","Mujer","Formal",8155.26667708374,0.0458360119974643
"06","Mujer","Informal",5060.93655994232,0.035289722585786
"07","Hombre","Formal",8224.82343647632,0.0492562365674398
"07","Hombre","Informal",4235.52021561717,0.0508150383095229
"07","Mujer","Formal",8731.45977005079,0.0421373547592219
"07","Mujer","Informal",4010.35405481212,0.0466981021709951
"08","Hombre","Formal",9765.89683719724,0.0300745651550312
"08","Hombre","Informal",6046.65672117894,0.0500173177415376
"08","Mujer","Formal",8212.43728461956,0.0239958166366886
"08","Mujer","Informal",4997.47945481944,0.0457523034718385
"09","Hombre","Formal",8304.30736451703,0.0905513603361191
"09","Hombre","Informal",6178.17721750179,0.154718968677809
"09","Mujer","Formal",6920.22162720631,0.0720705774355986
"09","Mujer","Informal",3526.01779924425,0.0548518101446551
"10","Hombre","Formal",9630.3476711765,0.0233355634708636
"10","Hombre","Informal",6457.5189374428,0.0358769962716077
"10","Mujer","Formal",8889.83709630279,0.0298870483771619
"10","Mujer","Informal",4654.48476227077,0.0447182861091495
"11","Hombre","Formal",5914.95201161487,0.0467302069349235
"11","Hombre","Informal",4792.1959750463,0.0407324852395293
"11","Mujer","Formal",5261.28273187018,0.0498806588632412
"11","Mujer","Informal",2994.72418666603,0.0460175412491101
"12","Hombre","Formal",7641.5675946072,0.0666958889818696
"12","Hombre","Informal",5135.43076671323,0.0542359748668228
"12","Mujer","Formal",7842.59462608016,0.0754942847863555
"12","Mujer","Informal",4242.39148244947,0.0715809392067
"13","Hombre","Formal",7816.32084043584,0.0768396259855412
"13","Hombre","Informal",5442.6225570446,0.0552039371068525
"13","Mujer","Formal",7012.66910627561,0.0679559683306339
"13","Mujer","Informal",3025.15509255898,0.0540695310424157
"14","Hombre","Formal",6349.86735889664,0.0400695141844768
"14","Hombre","Informal",6218.64506314751,0.0389365510711066
"14","Mujer","Formal",5382.68938491564,0.0484048677482364
"14","Mujer","Informal",4365.25999773144,0.0362678407028576
"15","Hombre","Formal",4075.06028950771,0.0871376723619158
"15","Hombre","Informal",3339.94876066531,0.0510789583783415
"15","Mujer","Formal",3591.04359561301,0.0837830021567512
"15","Mujer","Informal",2775.7233494025,0.0742625951805426
"16","Hombre","Formal",9190.08804643535,0.0662709534390873
"16","Hombre","Informal",6248.50859505132,0.0334770611383279
"16","Mujer","Formal",7594.52151254563,0.0628097256663707
"16","Mujer","Informal",3998.78992216658,0.0406950971177653
"17","Hombre","Formal",2076.737093542,0.106171205163944
"17","Hombre","Informal",3104.47473916764,0.0651434160611121
"17","Mujer","Formal",2091.82478485645,0.138345116556837
"17","Mujer","Informal",1974.44104524392,0.0584748405152944
"18","Hombre","Formal",12995.639330766,0.0322590777954609
"18","Hombre","Informal",8202.12532716362,0.0335418127022923
"18","Mujer","Formal",10671.3253574256,0.027816950410777
"18","Mujer","Informal",5541.34948055315,0.0508697199559337
"19","Hombre","Formal",10817.3167587801,0.0378948570764256
"19","Hombre","Informal",8623.3079261057,0.0492058857925807
"19","Mujer","Formal",9134.47391656736,0.0437450764269287
"19","Mujer","Informal",6137.47668143479,0.0593616435020009
"20","Hombre","Formal",6995.42214887975,0.059192402337207
"20","Hombre","Informal",3958.72480354804,0.0548344577280689
"20","Mujer","Formal",6858.64242437995,0.0631426192834446
"20","Mujer","Informal",2519.00835555328,0.0578921827778162
"21","Hombre","Formal",6729.35122112784,0.0500259947956109
"21","Hombre","Informal",4976.02915233214,0.0484859100007184
"21","Mujer","Formal",5693.87229516815,0.0565370002838295
"21","Mujer","Informal",3132.07578702486,0.0462591525145837
"22","Hombre","Formal",4616.37137520889,0.0641607387356063
"22","Hombre","Informal",4322.2467605846,0.0563831930002488
"22","Mujer","Formal",3711.85406060686,0.0618469555571882
"22","Mujer","Informal",2720.78766915007,0.0663263902469892
"23","Hombre","Formal",10146.9679015812,0.0446377386128668
"23","Hombre","Informal",8240.2222202887,0.0463055118441185
"23","Mujer","Formal",8043.64250358942,0.0507282442158488
"23","Mujer","Informal",5313.05709755081,0.064743872157679
"24","Hombre","Formal",6591.52877791033,0.0509185127454564
"24","Hombre","Informal",3876.52059088175,0.0446560815843771
"24","Mujer","Formal",5886.36228866961,0.0643207392148901
"24","Mujer","Informal",3095.64714003291,0.0503950667224281
"25","Hombre","Formal",10887.1444541136,0.0323335954451207
"25","Hombre","Informal",8642.30521547035,0.0429452805176309
"25","Mujer","Formal",9279.71195606632,0.0449953513993092
"25","Mujer","Informal",5644.80656769121,0.0500294669508875
"26","Hombre","Formal",8849.98610039587,0.049472178467322
"26","Hombre","Informal",5839.84212133681,0.0563384264767143
"26","Mujer","Formal",7416.56364096617,0.0414414155577519
"26","Mujer","Informal",4306.24603739511,0.0617760833509284
"27","Hombre","Formal",9978.82002238639,0.0437862021168591
"27","Hombre","Informal",6420.77002325667,0.029856360244425
"27","Mujer","Formal",8524.50768058397,0.0624388933727038
"27","Mujer","Informal",4248.14661012855,0.0365474106277647
"28","Hombre","Formal",11262.9042455045,0.0294542534847433
"28","Hombre","Informal",7131.02711390287,0.0362571687807636
"28","Mujer","Formal",9717.14965451197,0.0311313892156655
"28","Mujer","Informal",5104.05340397528,0.0510598335662997
"29","Hombre","Formal",7580.69819044476,0.040407781959765
"29","Hombre","Informal",5285.67036823152,0.0296448822549524
"29","Mujer","Formal",7168.72782379287,0.0408950576544248
"29","Mujer","Informal",3514.38566215562,0.032356024330648
"30","Hombre","Formal",7260.82358559272,0.0572679893893519
"30","Hombre","Informal",5229.47402277826,0.042692394092126
"30","Mujer","Formal",6483.5076823764,0.0719170520905992
"30","Mujer","Informal",3976.32202206523,0.0456472262307682
"31","Hombre","Formal",9967.76065121569,0.0355730186204109
"31","Hombre","Informal",7215.72221333674,0.0377505337747417
"31","Mujer","Formal",8469.62484337106,0.0386149005788814
"31","Mujer","Informal",4259.49325236384,0.039181320832838
"32","Hombre","Formal",8240.35392010465,0.0457677314100835
"32","Hombre","Informal",5285.81589898241,0.0514738725885247
"32","Mujer","Formal",7219.85029532031,0.049351268846841
"32","Mujer","Informal",3362.02556466727,0.0472674530546596
